Config,Benchmark,Instructions,Cycles,IPC,Branches,Prediction Rate (%)
Width 1,dot,916,946,0.968,129,98.450
Width 2,dot,916,553,1.656,129,98.450
Width 4,dot,916,297,3.084,129,98.450
Width 8,dot,916,296,3.095,129,98.450
Width 1,fibonacci,54002,66462,0.813,4414,50.068
Width 2,fibonacci,54002,44298,1.219,4414,50.068
Width 4,fibonacci,54002,31696,1.704,4414,50.068
Width 8,fibonacci,54002,28449,1.898,4414,50.068
Width 1,gaussian,21383,26626,0.803,3344,68.750
Width 2,gaussian,21383,18365,1.164,3344,68.750
Width 4,gaussian,21383,14013,1.526,3344,68.750
Width 8,gaussian,21383,13755,1.555,3344,68.750
Width 1,insertionsort,24995,25841,0.967,8241,98.350
Width 2,insertionsort,24995,17713,1.411,8241,98.350
Width 4,insertionsort,24995,17707,1.412,8241,98.350
Width 8,insertionsort,24995,17705,1.412,8241,98.350
Width 1,matmul,34675,36073,0.961,4368,93.681
Width 2,matmul,34675,22738,1.525,4368,93.681
Width 4,matmul,34675,11987,2.893,4368,93.681
Width 8,matmul,34675,10723,3.234,4368,93.681
Width 1,quicksort,10127,13398,0.756,2101,77.868
Width 2,quicksort,10127,9227,1.098,2101,77.868
Width 4,quicksort,10127,7512,1.348,2101,77.868
Width 8,quicksort,10127,7151,1.416,2101,77.868
Width 1,saxpy,916,944,0.970,129,98.450
Width 2,saxpy,916,652,1.405,129,98.450
Width 4,saxpy,916,317,2.890,129,98.450
Width 8,saxpy,916,295,3.105,129,98.450
Width 2,dot,916,553,1.656,129,98.450
Vector 128,dot_vec,434,358,1.212,33,93.939
Vector 256,dot_vec,226,194,1.165,17,88.235
Vector 512,dot_vec,122,110,1.109,9,77.778
Width 2,gaussian,21383,18365,1.164,3344,68.750
Vector 128,gaussian_vec,6252,5009,1.248,848,67.335
Vector 256,gaussian_vec,3180,2714,1.172,432,62.037
Vector 512,gaussian_vec,1644,1290,1.274,224,69.643
Width 2,matmul,34675,22738,1.525,4368,93.681
Vector 128,matmul_vec,16759,10717,1.564,1552,82.216
Vector 256,matmul_vec,10103,8148,1.240,1040,48.942
Vector 512,matmul_vec,6775,3796,1.785,784,97.577
Width 2,saxpy,916,652,1.405,129,98.450
Vector 128,saxpy_vec,370,231,1.602,33,93.939
Vector 256,saxpy_vec,194,135,1.437,17,88.235
Vector 512,saxpy_vec,106,87,1.218,9,77.778
Branch Static Not Taken,dot,916,1179,0.777,129,1.550
Branch Static Taken,dot,916,554,1.653,129,98.450
Branch One Bit,dot,916,553,1.656,129,98.450
Branch Two Bit,dot,916,553,1.656,129,98.450
Branch Static Not Taken,fibonacci,54002,40660,1.328,4414,61.826
Branch Static Taken,fibonacci,54002,48810,1.106,4414,38.174
Branch One Bit,fibonacci,54002,47595,1.135,4414,38.355
Branch Two Bit,fibonacci,54002,44815,1.205,4414,50.068
Branch Static Not Taken,gaussian,21383,24907,0.859,3344,31.130
Branch Static Taken,gaussian,21383,18342,1.166,3344,68.870
Branch One Bit,gaussian,21383,24572,0.870,3344,37.739
Branch Two Bit,gaussian,21383,18365,1.164,3344,68.750
Branch Static Not Taken,insertionsort,24995,42461,0.589,8241,48.526
Branch Static Taken,insertionsort,24995,44749,0.559,8241,51.474
Branch One Bit,insertionsort,24995,18461,1.354,8241,97.039
Branch Two Bit,insertionsort,24995,17713,1.411,8241,98.350
Branch Static Not Taken,matmul,34675,38231,0.907,4368,6.250
Branch Static Taken,matmul,34675,21699,1.598,4368,93.750
Branch One Bit,matmul,34675,22313,1.554,4368,87.500
Branch Two Bit,matmul,34675,21713,1.597,4368,93.681
Branch Static Not Taken,quicksort,10127,13363,0.758,2101,36.221
Branch Static Taken,quicksort,10127,11419,0.887,2101,63.779
Branch One Bit,quicksort,10127,9903,1.023,2101,72.109
Branch Two Bit,quicksort,10127,8918,1.136,2101,77.868
Branch Static Not Taken,saxpy,916,1177,0.778,129,1.550
Branch Static Taken,saxpy,916,595,1.539,129,98.450
Branch One Bit,saxpy,916,594,1.542,129,98.450
Branch Two Bit,saxpy,916,594,1.542,129,98.450
